Year,Baavg
1968,9.350482308
1970,9.070145915
1972,9.249340521
1974,9.475408996
1977,9.55447727
1978,9.505429643
1980,9.331030145
1982,9.399765415
1984,9.578711585
1985,9.613993272
1986,9.538636938
1987,9.357572337
1989,9.380004749
1990,9.588697969
1992,9.646632344
1993,9.406182603
1995,9.355352304
1997,9.274771654
1998,9.304358154
1999,9.336903444
2000,9.245171314
2001,9.257059765
2002,9.348700824
2003,9.325209632
2004,9.364151968
2005,9.384140023
2006,9.352812861
2007,9.348461489
2008,9.389975006
2009,9.384848591
2010,9.372284575
2011,9.376900226
2012,9.370525315
